Bill: 	Tk 20.0	2024-05-30 23:06:56	4430.0	Mobile Top Up to phone number: 01234567891
Loan: 	Tk 50.0	2024-05-30 23:07:08	4480.0	Loan taken
Loan: 	Tk 500.0	2024-05-30 23:11:21	4980.0	Loan taken
Loan: 	Tk 500.0	2024-05-30 23:13:58	5480.0	Loan taken
Loan: 	Tk 200.0	2024-05-30 23:14:54	5180.0	Loan taken
Loan: 	Tk 200.0	2024-05-30 23:16:49	5380.0	Loan taken
Loan: 	Tk 500.0	2024-05-30 23:19:56	5880.0	Loan taken
Loan: 	Tk 500.0	2024-05-30 23:20:01	4880.0	Loan repaid
Loan: 	Tk 25.0	2024-05-30 23:20:06	5355.0	Loan repaid
Loan: 	Tk 500.0	2024-05-30 23:20:18	5855.0	Loan taken
Loan: 	Tk 10.0	2024-05-30 23:20:27	5865.0	Loan taken
Loan: 	Tk 500.0	2024-05-30 23:21:47	6365.0	Loan taken
Loan: 	Tk 100.0	2024-05-30 23:22:08	6465.0	Loan taken
Loan: 	Tk 100.0	2024-05-30 23:22:43	6565.0	Loan taken
Loan: 	Tk 525.0	2024-05-30 23:25:15	6040.0	Loan repaid
Loan: 	Tk 600.0	2024-05-30 23:25:25	6640.0	Loan taken
Loan: 	Tk 630.0	2024-05-30 23:25:37	6010.0	Loan repaid
