Amount 	 Time 	 Loan Balance 	 Description
0 	30-05-2024 00:54:03 	0 	Initial loan status500.0	30-05-2024 00:54:50	550.0	Took a loan
500.0	30-05-2024 00:55:04	550.0	Took a loan
550.0	30-05-2024 00:55:40	0.0	Repayed loan
200.0	30-05-2024 01:05:46	220.0	Took a loan
220.0	30-05-2024 01:06:02	0.0	Repayed loan
15000.0	30-05-2024 01:06:45	16500.0	Took a loan
16500.0	30-05-2024 01:08:35	0.0	Repayed loan
500.0	30-05-2024 01:11:03	550.0	Took a loan
550.0	30-05-2024 01:11:17	0.0	Repayed loan
20.0	30-05-2024 01:11:26	22.0	Took a loan
22.0	30-05-2024 01:11:35	0.0	Repayed loan
10000.0	30-05-2024 01:11:43	11000.0	Took a loan
11000.0	30-05-2024 01:11:51	0.0	Repayed loan
5000.0	30-05-2024 01:12:00	5500.0	Took a loan
